City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
ushuaia,75,AR,1542508200,34,-54.81,-68.31,51.8,7.7
mar del plata,36,AR,1542509672,42,-46.43,-67.52,58.8614,8.41
kavieng,76,PG,1542509469,100,-2.57,150.8,80.4614,1.61
rikitea,56,PF,1542509660,100,-23.12,-134.97,74.79140000000004,5.71
torbay,90,CA,1542506400,100,47.66,-52.73,32.0,11.8
nuuk,36,GL,1542505800,79,64.17,-51.74,24.8,6.2
busselton,80,AU,1542509675,98,-33.64,115.35,65.52140000000009,6.51
verkhnyaya tura,92,RU,1542510094,88,58.36,59.82,28.306400000000064,2.21
avera,1,US,1542508500,96,33.19,-82.53,53.96000000000008,1.81
kaitangata,68,NZ,1542509702,100,-46.28,169.85,42.8864,9.96
ribeira grande,92,PT,1542509682,98,38.52,-28.7,64.21640000000005,5.21
tuatapere,76,NZ,1542509680,100,-46.13,167.69,43.1114,7.96
amboasary,20,MG,1542506400,83,-25.04,46.38,73.4,9.8
cayenne,20,GF,1542508200,94,4.94,-52.33,75.2,3.31
cape town,0,ZA,1542506400,63,-33.93,18.42,62.6,10.3
pevek,64,RU,1542509753,100,69.7,170.27,3.9164000000000456,1.96
gamba,0,CN,1542509697,27,28.28,88.52,17.731400000000065,1.36
lorengau,76,PG,1542509778,100,-2.02,147.27,84.10640000000006,2.01
mount isa,44,AU,1542506400,27,-20.73,139.49,98.6,4.6
japura,68,ID,1542510096,88,-0.42,102.29,79.02140000000009,1.31
vaitape,80,PF,1542510097,99,-16.52,-151.75,82.0364,5.26
port elizabeth,1,US,1542506160,96,39.31,-74.98,42.08000000000004,1.5
punta arenas,75,CL,1542506400,66,-53.16,-70.91,50.0,6.2
acajutla,8,SV,1542510097,55,13.59,-89.83,80.19140000000004,2.56
lazaro cardenas,5,MX,1542505500,32,28.39,-105.62,51.8,2.6
hithadhoo,0,MV,1542509688,100,-0.6,73.08,82.21640000000005,4.76
puerto ayora,48,EC,1542509706,100,-0.74,-90.35,73.17140000000009,5.51
ajdabiya,88,LY,1542510098,33,30.75,20.22,62.731400000000065,3.91
east london,12,ZA,1542509576,100,-33.02,27.91,64.98140000000006,4.26
arosa,0,CH,1542507600,85,46.78,9.68,28.4,1
hermanus,32,ZA,1542509684,92,-34.42,19.24,52.24640000000009,2.81
touros,36,BR,1542509742,88,-5.2,-35.46,78.70640000000006,6.26
barrow,44,AR,1542509710,89,-38.31,-60.23,51.34640000000009,6.26
djibo,0,BF,1542510100,65,14.1,-1.63,65.88140000000007,1.26
roura,20,GF,1542508200,94,4.73,-52.33,75.2,3.31
bethel,90,US,1542505980,100,60.79,-161.76,33.08000000000004,2.6
okha,20,RU,1542510101,100,53.59,142.95,22.231400000000065,2.41
hilo,75,US,1542506160,76,19.71,-155.08,78.98000000000005,3.6
mount gambier,0,AU,1542509727,57,-37.83,140.78,75.46640000000005,1.51
hay river,75,CA,1542506400,78,60.82,-115.79,8.600000000000001,4.6
new norfolk,75,AU,1542506400,55,-42.78,147.06,60.8,5.1
aanekoski,20,FI,1542507600,80,62.6,25.73,39.2,5.7
hobart,75,AU,1542506400,55,-42.88,147.33,60.8,5.1
shimoda,75,JP,1542506400,72,34.7,138.93,60.8,6.7
chuy,88,UY,1542509698,96,-33.69,-53.46,67.4114,4.36
yar-sale,80,RU,1542509881,92,66.83,70.83,7.696400000000086,8.01
avarua,75,CK,1542506400,78,-21.21,-159.78,78.8,3.6
la ronge,90,CA,1542506400,77,55.1,-105.3,3.1999999999999993,3.6
mataura,92,NZ,1542509686,91,-46.19,168.86,43.24640000000009,8.36
kapaa,40,US,1542506160,57,22.08,-159.32,80.96000000000008,8.2
thompson,90,CA,1542506400,77,55.74,-97.86,3.1999999999999993,3.6
victoria,75,BN,1542506400,79,5.28,115.24,87.8,1
port alfred,44,ZA,1542509676,96,-33.59,26.89,61.15640000000006,2.81
lichinga,40,MZ,1542510000,82,-13.3,35.25,66.2,5.1
mujiayingzi,0,CN,1542510105,65,42.12,118.78,28.486400000000003,3.01
port lincoln,0,AU,1542509665,58,-34.72,135.86,74.34140000000005,6.36
jutai,0,BR,1542510106,76,-1.71,-47.89,79.47140000000009,2.96
cordoba,64,CO,1542510076,93,5.59,-73.79,52.74140000000004,0.96
karpathos,92,GR,1542507600,72,35.51,27.21,68.0,6.2
tuktoyaktuk,75,CA,1542506400,84,69.44,-133.03,-0.39999999999994884,7.7
narsaq,44,GL,1542505800,85,60.91,-46.05,24.8,1.06
tiarei,75,PF,1542508200,94,-17.53,-149.33,75.2,2.6
lavrentiya,76,RU,1542509763,100,65.58,-170.99,34.021400000000085,9.96
male,68,UA,1542510108,65,50.74,33.7,13.141400000000043,1.31
fortuna,0,ES,1542508200,87,38.18,-1.13,62.6,2.1
sitka,80,US,1542509766,69,37.17,-99.65,30.916400000000046,5.91
goundam,0,ML,1542510109,40,16.42,-3.66,67.8614,2.31
cherskiy,24,RU,1542509686,81,68.75,161.3,-18.40359999999997,1.61
yerbogachen,44,RU,1542510110,60,61.28,108.01,-7.468599999999938,1.91
albany,90,US,1542506040,59,42.65,-73.75,39.02000000000006,4.1
broome,0,GB,1542507600,93,52.47,1.45,44.6,2.1
sao filipe,64,CV,1542509679,100,14.9,-24.5,74.6114,4.21
dali,0,CN,1542510111,71,25.6,100.24,56.791400000000046,1.06
dikson,0,RU,1542509712,79,73.51,80.55,7.021400000000085,6.16
bredasdorp,76,ZA,1542506400,63,-34.53,20.04,62.6,1.5
caborca,20,MX,1542510112,52,30.58,-111.1,43.1114,1.46
kangaatsiaq,68,GL,1542510112,100,68.31,-53.46,22.861400000000003,10.16
orsha,88,BY,1542510112,96,54.51,30.43,31.996400000000087,5.46
saskylakh,88,RU,1542509664,68,71.97,114.09,-9.628599999999963,1.46
pangody,76,RU,1542509897,83,65.85,74.49,7.921400000000084,7.01
stephenville,1,US,1542508500,75,32.22,-98.2,61.52000000000006,1.5
te anau,76,NZ,1542509663,95,-45.41,167.72,39.2864,2.41
biltine,0,TD,1542510114,61,14.53,20.93,60.706400000000066,1.76
kodiak,90,US,1542505980,84,39.95,-94.76,28.04000000000002,7.7
igarka,68,RU,1542509759,80,67.47,86.57,8.641400000000043,0.31
aklavik,75,CA,1542506400,77,68.22,-135.01,-0.39999999999994884,4.6
atuona,8,PF,1542509674,100,-9.8,-139.03,81.09140000000005,6.61
vaini,0,IN,1542509696,69,15.34,74.49,76.23140000000006,1.76
coxim,88,BR,1542510115,91,-18.5,-54.75,74.56640000000004,4.21
synya,88,RU,1542510116,95,65.37,58.04,29.296400000000084,1.61
airai,64,TL,1542509707,90,-8.93,125.41,77.35640000000006,0.91
santiago,0,CL,1542506400,48,-33.44,-70.65,64.4,2.6
eldorado,40,MX,1542505200,46,24.32,-107.36,73.4,2.56
yellowknife,40,CA,1542506400,83,62.45,-114.38,-7.599999999999952,3.6
narasannapeta,56,IN,1542510117,84,18.42,84.04,79.15640000000006,1.91
port hardy,40,CA,1542506400,100,50.7,-127.42,35.6,1
merritt island,90,US,1542506160,86,28.54,-80.67,67.28000000000004,2.6
ponta do sol,76,BR,1542509862,65,-20.63,-46,72.72140000000009,3.86
saldanha,92,PT,1542509962,95,41.42,-6.55,44.05640000000007,1.46
butaritari,64,KI,1542509662,100,3.07,172.79,83.88140000000007,4.46
nemuro,75,JP,1542506400,60,43.32,145.57,41.0,2.6
rudnichnyy,88,RU,1542510119,96,59.7,60.29,27.991400000000045,2.11
rio gallegos,0,AR,1542506400,54,-51.62,-69.22,53.6,7.7
rio grande,92,BR,1542510119,100,-32.03,-52.1,69.93140000000007,5.46
micheweni,88,TZ,1542510120,100,-4.97,39.83,77.71640000000005,2.61
castro,92,CL,1542509739,94,-42.48,-73.76,49.8614,2.91
lebu,75,ET,1542510000,81,8.96,38.73,51.8,1
klaksvik,0,FO,1542507600,93,62.23,-6.59,46.4,9.8
norman wells,75,CA,1542506400,71,65.28,-126.83,6.800000000000001,5.7
margate,75,AU,1542506400,55,-43.03,147.26,60.8,5.1
ilulissat,80,GL,1542505800,79,69.22,-51.1,21.2,6.2
khatanga,80,RU,1542509677,71,71.98,102.47,1.4414000000000442,3.81
saint-philippe,1,CA,1542507300,63,45.36,-73.48,30.2,4.1
guerrero negro,36,MX,1542509712,97,27.97,-114.04,57.691400000000044,2.61
juba,68,EE,1542505800,80,57.82,26.93,41.0,5.1
bluff,92,AU,1542509669,47,-23.58,149.07,84.24140000000004,2.56
molokovo,92,RU,1542510123,97,58.16,36.77,34.1114,2.56
